Section	Question	Answer
EXAMINATIONS AND MARKS/GRADES	I AM GOING TO TAKE AN EXAM AGAIN. WHAT MUST I DO?	If they are first term exams and you are leaving in the second term, nothing.If they are first term exams and you are leaving in February or if they are second term exams, you should do the following:As soon as you know that you need to take at least one extraordinario exam, send an email to  incoming@uva.es (mailto:incoming@uva.es)  or  chico@uva.es (mailto:raquel.chico@uva.es)  to let us know that you will be doing extraordinario exams.During your final extraordinario exam, you should ask the teacher invigilating for a proof of attendance note (justificante de asistencia).After your final exam, you should take the proof of attendance note to the International Relations Office, or to your coordinating teacher if you are studying in Palencia, Segovia or Soria.
EXAMINATIONS AND MARKS/GRADES	HOW WILL I RECEIVE MY MARKS/GRADES CERTIFICATE, TRANSCRIPT OF RECORDS, DOCUMENT AFTER THE MOBILITY?	The International Relations Office will send it to you by email.
EXAMINATIONS AND MARKS/GRADES	MY UNIVERSITY HAS A DOCUMENT FOR THIS MARKS/GRADES CERTIFICATE. SHOULD I TAKE IT TO MY COORDINATING TEACHER TO HAVE IT SIGNED?	No. The rules in our university require us to use our own certificate. This is created following a strict and safe protocol. It also has to be signed by the university authorities, the Vice-rector for International Relations, and the General Secretary. A transcript signed by your coordinating teacher at the University of Valladolid will be not be valid.If this is a problem for your university, you should contact us directly.
BEFORE LEAVING THE UNIVERSITY OF VALLADOLID	WHAT MUST I DO WHEN I FINISH MY STUDIES AT THE UNIVERSITY OF VALLADOLID?	You should pick up the certificate accrediting your stay (certificado de estancia) or Letter 2 at the same place where you received your certificate of arrival or Letter 1:If you have studied in the city of Valladolid, you should go to the International Relations Office. If you have studied in Palencia, Segovia, or Soria, you should see your coordinating teacher.The International Relations Office will send you your marks/grades certificate or transcript of records directly. 
EXTENDING AN EXCHANGE STUDY STAY	HOW CAN I EXTEND MY STAY AT THE UVA?	You should fill in the following document ( download here) (http://relint.uva.es/wp-content/uploads/2019/02/DOCUMENTO_AMPLIACION_MATRICULA.pdf)  and send it by email to  incoming@uva.es (mailto:incoming@uva.es)  or hand it in personally at the International Relations Office.
EXTENDING AN EXCHANGE STUDY STAY	MY UNIVERSITY WILL NOT GIVE ME AN EXTENSION. IS THERE ANOTHER WAY I CAN STAY AT THE UVA?	Yes. Through the Visiting Students Programme, any university student may stay at the University of Valladolid for one or two terms. 
Formative Activities	How many credits or hours of formative activities must I course?	Doctoral studies are not scheduled by credits, but coursing formative activities during your permanence in your doctoral program is obligatory. Number of hours and type of formative activities to course (transversal, specific…) are specified on the current accreditation report of each doctoral program.
Formative Activities	Is it compulsory to course the formative activities proposed by the Doctoral School?	No, but it is advisable, and always in accordance to what is established on the current accreditation report of each doctoral program and always under supervision of your thesis director or tutor.
Formative Activities	May I course formative activities outside the University of Valladolid?	The current accreditation report of each doctoral program specifies which formative activities are to be considered as training for the PhD student. They usually include activities from other institutions or centers outside the University of Valladolid.
Formative Activities	Where can I find the formative activities offered by the Doctoral School?	Formative activities offered by the Doctoral School are published on its website:  http://escueladoctorado.uva.es (/export/sites/doctorado/) , on the section  Formative Activities or on the Calendar (/export/sites/doctorado/laescuela/actividades/) . If you already have your username and password as a University of Valladolid member you can also look up on the  virtual campus of UVa (http://extension.campusvirtual2015.uva.es/course/index.php?categoryid=783) .
Formative Activities	How do I enroll myself in these formative activities of the EsDUVa?	First, you must pre-register using the link that will be provided through an email to all PhD students of the EsDUVa. This access to the activities is carried out through a first pre-registration, to which all doctoral students of the EsDUVa have access. There are at least two application periods: December (for activities of the quarter January-March) and March (for activities of April-June). Finally, according to the offered places and the admission criteria, selected applicants will be informed, by email, of their admission on the formative activity as well as the steps to follow for the enrollment.
Formative Activities	How do I get the completion certificate of a formative activity?	Once you have coursed a formative activity, you can obtain your completion certificate through the virtual campus of UVa, unless you had specified another option.
Formative Activities	Who can I ask if I still have any question about formative activities?	If you still have any question, you can contact us on the following emails:  escuela.doctorado@uva.es (mailto:escuela.doctorado@uva.es)  and  secretaria.academica.escuela.doctorado@uva.es. (mailto:secretaria.academica.escuela.doctorado@uva.es)  
admission and enrollment	Which are the requirements I must meet to be admitted in a doctoral program?	You must meet one of the requirements established in the normative that regulates doctoral studies.For more information follow this link:  Access and admission in an Official Doctoral Program of the UVa (/opencms/sites/uva/2.docencia/2.04.doctorado/2.04.03.accesoyadmision/) Additionally, the Academic Committee of each doctoral program may determine additional specific admission requirements which you can check in the detailed information of each program available on the web.
admission and enrollment	How do you apply for admission in a doctoral program?	To apply for admission in a doctoral program you must complete a specific application form and submit it to the Coordinator of the doctoral program with copies of the required documents.The Academic Committee of the doctoral program will resolve the admission and will communicate it to the applicant and the Administrative Secretary of the Doctoral School.
admission and enrollment	When do you apply for admission in a doctoral program?	There are two application periods established and they usually are in September, the first one, and another in February for those programs with vacancies after the first application period.
admission and enrollment	Once I am admitted, what must I do?	To be part of a doctoral program as a PhD student it is indispensable to formalize the enrollment either way by attending the Administrative Secretary of the Doctoral School, which is situated in Casa del Estudiante, C/ Real de Burgos, s/n, Valladolid, or by e-mail:  seccion.tercer.ciclo@uva.es  (mailto:seccion.tercer.ciclo@uva.es) It is convenient to check on the web the required documents you must submit to formalize the enrollment.
admission and enrollment	How much does the enrollment cost?	Enrollment costs are annually fixed by the Castilla and León Regional Government in the Decree of public prices.You can pay your enrollment in every Santander Bank presenting the promissory note provided by the Administrative Section of the Doctoral School, or you can set up a direct debit, for what you will be asked for your bank account.
admission and enrollment	How many times must I renew my enrollment during my attendance in the doctoral program?	You must renew your enrollment, during the established periods, every year you attend a doctoral program. The lack of enrollment renewal will cause drop from the doctoral program unless you are allowed by the Academic Committee for a temporary leave of one year, extendable one more year.
admission and enrollment	Can I cancel my enrollment? What are the consequences?	Cancellation of your enrollment may be requested in writing to the Administrative Secretary of the Doctoral School, within the next month after the enrollment period has finished. During this mentioned period you have the right to the refund of the academic fees (but not the administrative fees).After the stated period limit above mentioned, cancellation of your enrollment does not give the right to the refund of fees and you will still be requested for the payment of the pending amounts.
admission and enrollment	Could the University cancel my enrollment without having requested for it?	Yes, in case of nonpayment or lack of the required documentation, always preceded by the appropriate request for the payment or documents needed for the correct formalization of the enrollment.
admission and enrollment	Does being a part-time student imply a lower cost of the enrollment?	No. The amount to pay for the enrollment is established by the Decree of public prices which is annually approved by the Autonomous Community and it is the same for part-time students and for full-time students.To check enrollment fees and possible discounts, see:  How much does it cost to pursue a doctoral degree? (/export/sites/doctorado/futuros_alumnos/matricula/tasas_y_precios.html) 
admission and enrollment	Which doctoral program may I attend?	The whole offer of doctoral programs of the University of Valladolid is shown on the website in the section named Offer. Currently there are 29 doctoral programs. We recommend you to look carefully at the detailed information of each doctoral program in order to know its research lines and to verify if they meet your academic background or the fields in which you want to develop your research work.
Doctoral Studies	What is a doctoral program?	A doctoral program is the group of activities leading to the acquisition of the competences and abilities required for a Doctorate Degree. The final purpose of these activities is the advanced training of the doctoral student in research techniques. They may include courses, seminars or other formative activities, either specific offered by each program or transversal activities offered by the Doctoral School, aimed at research training.To obtain a Doctorate Degree it is necessary  to fulfill the requirements of elaboration, defense and approval of a doctoral Thesis
Doctoral Studies	What does carrying out a doctoral Thesis consist of?	A Doctoral Thesis consists of a piece of work that comprises original research findings in any field of knowledge and that qualifies the PhD student for autonomous work in the scope of Research, Development and Innovation.
Doctoral Studies	How long does doctoral studies last?	The maximum duration of doctoral studies will be 3 years as full-time student, or 5 years as a part-time student, since the admission to the doctoral program until the presentation of the doctoral Thesis.
Doctoral Studies	May I altern periods of full-time and part-time student?	At the request of the PhD student, the condition of part-time student will be recognized by the Academic Committee of the doctoral program for a whole academic year, This condition may change in the following academic years if the PhD student requests for it before the renewal of his enrollment.
Doctoral Studies	Which requirements must I meet to be a part-time student?	To meet the condition of a part-time student you must request for it at the coordinator of the doctoral program at the time of the enrollment and accredit any of the requirements stated by the normative, such as to be working for at least a four-month period of the academic year or to take charge of a close family member.More information in  Admission Process section (/opencms/guia_rapida/procesodeadmision.html) .
Doctoral Studies	May I interrupt my doctoral studies without computing that time as permanence or attending time in the program?	You may request for a temporary layoff from the doctoral program of one year maximum, extensible for one more year. You must address this request to the Academic Commission of your doctoral program, before the established periods for the renewal of enrollments. Temporary layoffs do not compute from the specific initial date until the final date, they compute for complete academic years.
Doctoral Studies	Which doctoral program may I attend?	The whole offer of doctoral programs of the University of Valladolid is shown on the website in the section named  Offer (/opencms/oferta/) . Currently there are 29 doctoral programs. We recommend you to look carefully at the detailed information of each doctoral program in order to know its research lines and to verify if they meet your academic background or the fields in which you want to develop your research work.
Doctoral Studies	I am a new PhD student in a doctoral program, but I come from an extinct doctoral program, how much time do I have before submitting my doctoral Thesis for approval (deposit)?	Every new PhD student counts with 3 years since the date of admission in a doctoral program if they are full-time students, or with 5 years if they are part-time PhD students.
Doctoral Studies	I am a new PhD student in a doctoral program, but I come from an extinct doctoral program, may I deposit my doctoral Thesis the first year?	No. You must be enrolled for at least two academic years and you must also have the Activities Document and the Investigation Plan (DAPI) positively assessed.
Doctoral Studies	I am a new PhD student in a doctoral program, but I come from an extinct doctoral program, do I have to do or attend all the formative activities?	The Academic Commission of the doctoral program who determines the formative activities you must do or attend and those which will be recognized as completed depending on your academic record.
Doctoral Studies	I am a new PhD student in a doctoral program, may I incorporate to my Activities Document those activities I have done before the admission in this doctoral program?	No. Exceptionally, only PhD students who come from an extinct doctoral program may incorporate former activities, as far as they were enrolled in that extinct doctoral program while realizing those formative activities.
Doctoral Studies	What are the Formative complements?	Formative complements are subjects of a research-oriented Master you must take in case they are required by the Academic Commission of the doctoral program. You will enroll and study them during your attendance in the program.
Doctoral Studies	Are formative complements compulsory? 	Yes, if so has stated the Academic Commission of your doctoral program at the time of your admission.
Doctoral Studies	How do I study the formative complements?	At the time of formalizing your enrollment you will also have to enroll the credits of the formative complements of the indicated Master. You will study them with the rest of the students of the Master and you will count with two exam calls.
Doctoral Studies	If I am attending formative complements in a Master degree, may I finish the Master and obtain the degree?	No. Although you study your formative complements with the regular master students, they are part of your doctoral academic record. To complete the Master you must apply for the enrollment as regular Master students do.
Doctoral Studies	Who will be my tutor for my doctoral degree?	At the time of your admission, the Academic Commission of your doctoral program will assign you a tutor with accredited research experience, and who is also involved in the unit or School which organizes the program.
Doctoral Studies	May I ask for a change or substitution of my tutor?	Yes, the Academic Commission of the program will attend you request if there are reasonable grounds.
Doctoral Studies	Who will be my Doctoral Thesis director?	He will be designated by the Academic Commission at the time of admission in the program, and in case of no assignation at the time of admission, he must be designated within the three months after the enrollment. He may or may not be the same person as the tutor. Any Spanish or foreign PhD with accredited research experience may be Director, regardless the University, Center, or Institution in which he works.
Doctoral Studies	May I ask for a change or substitution of director?	Yes. the Academic Commission of the program will attend you request if there are reasonable grounds.
Doctoral Studies	May I have several directors?	Yes, the Academic Commission of the program may authorize co-direction by other PhD when academic circumstances meet. This authorization may be revoked by the Academic Commission if it is considered that this situation does not benefit the development of the Thesis.
Doctoral Theses - Deposit	I have completed my thesis. What do I have to do?	Contact the coordinator of your Doctoral Programme in order to request authorisation to submit the thesis and start the procedures. You can find all the documents in the following link:  Procedures to follow for doctoral theses (UVa) (/export/sites/doctorado/tesis/defensa_tesis/admision/index.html) .Remember that your activity document and your research plan must have been assessed.
Doctoral Theses - Deposit	What regulations govern the presentation of a doctoral thesis?	The current regulations for the submission and defence of doctoral theses at the University of Valladolid were approved by the Governing Council, 3 June 2016.More information:  BOCYL (http://bocyl.jcyl.es/html/2016/06/15/html/BOCYL-D-15062016-5.do) 
Doctoral Theses - Deposit	How must I bind the card copy for deposit	No particular binding is required. You can choose economical binding, for example spiral.
Doctoral Theses - Deposit	Is there a special format for the thesis?	No, there isn’t. You just have to follow the cover model that can be found in  the forms section (/export/sites/doctorado/laescuela/impresos/tesis.html) .
Doctoral Theses - Deposit	Can my thesis be deposited by another person?	Any person authorised by the doctoral student can deposit the thesis. They must provide authorisation signed by the doctoral student and a photocopy of the student’s identification document (Spanish ID, NIE or passport).
Doctoral Theses - Deposit	I want to present my thesis by compendium of publications. What documents must I submit in order to deposit the thesis?	The procedure for depositing and defending this doctoral thesis is the same as that of a standard thesis. You must also present (a) an annex with the list of articles of the thesis report, as well as (b) the co-authors’ acceptance of the presentation of the publications as part of the thesis, and (c) the waiver to include these articles in another thesis by compendium of publications.More information:  thesis as a compendium of publications (/export/sites/doctorado/tesis/index.html) 
Doctoral Theses - Deposit	I want to present my thesis with an “International Doctorate” mention. What documents must I submit in order to deposit the thesis?	"The procedure for depositing and defending this doctoral thesis is the same as that of a standard thesis. In addition, you must present the original certificate of stay or submit a photocopy which has been validated by presenting the original. The duration of the stay must be at least three months in a single non-Spanish institution and may have been carried out in two shorter periods.More information:  thesis with ""International Doctorate"" mention (/export/sites/doctorado/tesis/defensa_tesis/admision/) "
Doctoral Theses - Deposit	I want to present my thesis under international co-supervision. What documents must I submit in order to deposit the thesis?	The procedure for a standard thesis will be followed even if this is defended at the other institution involved in the agreement. The doctoral student must complete a minimum stay of six months in each institution, which can be divided into several periods. You must present the original certificate of stay or submit a photocopy which has been validated by presenting the original.More information:  thesis in co-supervision regime (/export/sites/doctorado/doctorandos/cotutela.html) 
Doctoral Theses - Deposit	How many members of the examination board can be from the University of Valladolid?	There cannot be more than one among the five that comprise the examination board.
Doctoral Theses - Deposit	Can a retired teacher be a member of the examination board?	No, he/she must belong (actively) to a higher education or research institution.
Doctoral Theses - Deposit	Can a professor emeritus be a member of the examination board?	Yes, even if he/she is honorary.
Doctoral Theses - Deposit	Can specialised evaluators be on the examination board?	No, they can't.
Doctoral Theses - Deposit	Can a member of the examination board and a specialised evaluator belong to the same university?	Yes, they can
Doctoral Theses - Deposit	Can the reports issued by specialists prior to the defence be scanned copies?	No, they must be original and every page must be signed.
Doctoral Theses - Deposit	When does the Doctoral Commission meet?	Approximately once every 15 days.More information:  Commission meetings (/export/sites/doctorado/tesis/defensa_tesis/reuniones_comision_doctorado.html) 
Doctoral Theses - Deposit	Can I know who comprises the Doctoral Commission?	You can check its composition in the following link:  composition of the PhD committee (UVa) (http://www.uva.es/export/sites/uva/1.lauva/1.16.comisiones/1.16.16.comisiondoctorado/1.16.16.01.composicion/index.html) 
Doctoral Theses - Deposit	The public exhibition period of my thesis has concluded. What must I do?	Wait to be notified as to whether the Doctoral Commission has admitted your thesis for defence or not, and also as to the appointment of the examination board.If your thesis has been admitted for defence, you must pay the thesis examination fees. The receipt will be sent along with the notification.
Doctoral Theses - Deposit	How much time must elapse between the examination board appointment by the Rector and the date of defence?	Minimum ten working days from notification of the examination board appointment and maximum four months.
Doctoral Theses - Deposit	Who should convene the defence act?	The president of the examination board will convene it and the secretary must notify the Doctoral Commission of the date of defence at least three working days in advance. The announcement of such date will be published on the UVa website.
Doctoral Theses - Deposit	What happens when a member of the examination board cannot attend?	The secretary or the president of the examination board must present notification of the withdrawal either in writing or via email to:  negociado.escuela.doctorado@uva.es (mailto:negociado.escuela.doctorado@uva.es) . The first substitute will be appointed. Should he/she not be able to attend, he/she will have to withdraw, and the second substitute will be appointed.
Doctoral Theses - Deposit	I have already defended my thesis, what must I do?	You can now request your Doctoral Degree certificate. Application for this certificate may be made the day after defence, provided the secretary of the examination board has delivered the minutes and the reports to the Administrative Secretariat of the Doctoral School.More information about this procedure:  application for the doctoral degree (UVa) (/export/sites/doctorado/tesis/solicitud_titulo_doctor.html) 
Predoctoral Contracts of the University of Valladolid	My grade point average does not reach the stated minimum for predoctoral contracts, does this invalidate my application? Is there another way to apply for predoctoral contracts?	The stated grade point average is a requirement and therefore a mandatory precondition for predoctoral contracts.
Predoctoral Contracts of the University of Valladolid	My director does not participate on a research project, may I apply for a predoctoral contract?	No, directors must participate on a research project and meet all the established requirements.
Predoctoral Contracts of the University of Valladolid	How can I submit my application through the electronic headquarters?	You can access the electronic headquarters of the University of Valladolid through this link:  Oficina Virtual para la Tramitación Electrónica de la UVa (https://sede.uva.es/tramitador/ciudadano?idLogica=inicio&entrada=ciudadano&idEntidad=UVA) . You will be asked to authenticate yourself with an electronic signature certificate accepted by @firma. If you are an employee or a student of the University of Valladolid you can use your username LDAP, although for specific procedures a @firma certificate will be required.Once you are inside the Virtual Office, you must complete the application form (Iniciar Expediente -> Investigación -> Solicitud de Contratos Predoctorales) (respectively: Start file > Research > Predoctoral contract application) and then attach the required documents. To finish your application, click “Firmar” (Sign) and “Tramitar” (process).
Predoctoral Contracts of the University of Valladolid	Where can I find the annexes?	They are on the electronic headquarters of the UVa:  Oficina Virtual para la Tramitación Electrónica de la Universidad de Valladolid (https://sede.uva.es/tramitador/ciudadano?idEntidad=UVA&entrada=ciudadano&idLogica=loginComponent&fkIdioma=ES)  (Iniciar Expediente -> Investigación -> Solicitud de Contratos Predoctorales).
Predoctoral Contracts of the University of Valladolid	I can not access the electronic headquarters of the UVa, who can I ask?	You can call the information number 4727 (if you call from outside the UVa, you must dial the complete number: 983 184727) from 9 am to 2 pm (Monday to Friday) and also from 4 pm to 6 pm (Monday to Thursday).For technical issues, send your questions to  soporte-sede@uva.es (mailto:soporte-sede@uva.es) .
Predoctoral Contracts of the University of Valladolid	I still have a question, who can I ask?	You can write to  servicio.investigacion@uva.es (mailto:servicio.investigacion@uva.es) .
